,Unnamed: 0,Date & Time,User IP,Method,Url,Query String,Agent IP,Browser Type,OS,Url_Category,Agent_IP_Category,Login Type,HTTP Status,Test1,Win 32 Status,Sub Status,Cluster Names
107,1375,2015-03-01 00:06:01,118.244.228.205,GET,/wap/info.asp,id=12633,222.160.158.188,Mozilla,0,20,984,1,200,0,0,131,2
108,1452,2015-03-01 00:06:21,118.244.228.205,GET,/wap/next.asp,comicId=12439&chapterId=133059&_=1425138885055,183.195.233.181,Mozilla,0,29,873,1,200,0,64,116,2
109,1454,2015-03-01 00:06:21,118.244.228.205,GET,/wap/init.asp,comicId=12439&chapterId=133060&_=1425138885056,183.195.233.181,Mozilla,0,21,873,1,200,0,0,90,2
110,1481,2015-03-01 00:06:27,118.244.228.205,GET,/wap/read.asp,chapterId=136063&comicId=12491,180.153.206.31,Mozilla,2,31,823,0,200,0,0,201,2
111,1700,2015-03-01 00:07:12,118.244.228.205,GET,/wap/read.asp,chapterId=140318&comicId=12598,101.226.66.174,Mozilla,2,31,34,0,200,0,0,232,3
112,1701,2015-03-01 00:07:12,118.244.228.205,GET,/wap/read.asp,chapterId=140318&comicId=12598,112.64.235.249,Mozilla,1,31,187,1,200,0,0,268,3
113,1716,2015-03-01 00:07:15,118.244.228.205,GET,/wap/info.asp,id=12535,42.91.68.126,Mozilla,0,20,1078,1,200,0,0,150,4
114,1753,2015-03-01 00:07:25,118.244.228.205,GET,/wap/load.asp,comicId=12337&chapterId=129089&imageId=5&_=1425153016465,58.22.113.157,Mozilla,0,26,1159,1,200,0,0,309,4
115,1847,2015-03-01 00:07:50,118.244.228.205,GET,/wap/next.asp,comicId=12654&chapterId=142723&_=1425168315025,111.161.52.28,Mozilla,0,29,142,1,200,0,64,70,3
116,1937,2015-03-01 00:08:15,118.244.228.205,GET,/wap/next.asp,comicId=12473&chapterId=135044&_=1425167984498,183.195.232.17,Mozilla,0,29,869,1,200,0,64,100,2
117,1939,2015-03-01 00:08:15,118.244.228.205,GET,/wap/init.asp,comicId=12473&chapterId=135045&_=1425167984499,183.195.232.17,Mozilla,0,21,869,1,200,0,0,91,2
118,2037,2015-03-01 00:08:41,118.244.228.205,GET,/wap/info.asp,id=12492,183.232.118.13,Mozilla,0,20,879,1,200,0,64,208,2
119,2065,2015-03-01 00:08:53,118.244.228.205,GET,/wap/info.asp,id=12441,61.49.57.61,Mozilla,0,20,1225,1,200,0,64,133,4
120,2070,2015-03-01 00:08:54,118.244.228.205,GET,/wap/info.asp,id=12422,122.156.242.206,Mozilla,0,20,488,1,200,0,0,191,5
